team_id,affinity_band,dossier_path,n_participants,n_missing_id,n_missing_role,n_dup_ids,expected_members,mismatch_expected_members,participant_roles,role_counts,roles_in_project_pack,roles_in_blueprint,missing_roles_vs_refs,extra_roles_vs_refs
HIGH_01163,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01163\planning\dossier.json,5,0,0,0,5,False,community social worker; early years teaching assistant; social worker,"{""early years teaching assistant"": 3, ""community social worker"": 1, ""social worker"": 1}",community social services management; community social worker; early years teaching assistant; early years teaching staff; parents and guardians; school leadership; social work team lead; social worker,community social worker; early years teaching assistant; social worker,community social services management; early years teaching staff; parents and guardians; school leadership; social work team lead,
HIGH_01212,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01212\planning\dossier.json,5,0,0,0,5,False,mover; office clerk; shelf filler,"{""mover"": 1, ""office clerk"": 3, ""shelf filler"": 1}",Cleaning and maintenance coordinator; Customer service supervisor; Health and safety officer; Inventory controller; Store operations manager; mover; office clerk; shelf filler,mover; office clerk; shelf filler,Cleaning and maintenance coordinator; Customer service supervisor; Health and safety officer; Inventory controller; Store operations manager,
HIGH_01239,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01239\planning\dossier.json,6,0,0,0,6,False,factory hand; recycling worker,"{""factory hand"": 5, ""recycling worker"": 1}",Factory hand; Health and safety officer; Maintenance technician; Recycling worker; Shift supervisor; factory hand; recycling worker,factory hand; recycling worker,Factory hand; Health and safety officer; Maintenance technician; Recycling worker; Shift supervisor,
HIGH_01332,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01332\planning\dossier.json,5,0,0,0,5,False,bookkeeper; financial manager,"{""bookkeeper"": 4, ""financial manager"": 1}",bookkeeper; department cost centre owner; external auditor; financial manager; tax advisor,bookkeeper; financial manager,department cost centre owner; external auditor; tax advisor,
HIGH_01354,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01354\planning\dossier.json,5,0,0,0,5,False,tax clerk,"{""tax clerk"": 5}",accounting manager; compliance officer; external auditor; finance director; tax clerk,tax clerk,accounting manager; compliance officer; external auditor; finance director,
HIGH_01373,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01373\planning\dossier.json,5,0,0,0,5,False,management assistant; tax clerk,"{""management assistant"": 4, ""tax clerk"": 1}",Finance manager; Head of accounting department; Internal audit representative; Operations manager; Tax compliance officer; management assistant; tax clerk,management assistant; tax clerk,Finance manager; Head of accounting department; Internal audit representative; Operations manager; Tax compliance officer,
HIGH_01442,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01442\planning\dossier.json,5,0,0,0,5,False,child care worker; social pedagogue; vocational teacher,"{""social pedagogue"": 3, ""child care worker"": 1, ""vocational teacher"": 1}",child care worker; group home manager; social pedagogue; vocational teacher; youth welfare officer,child care worker; social pedagogue; vocational teacher,group home manager; youth welfare officer,
HIGH_01458,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01458\planning\dossier.json,5,0,0,0,5,False,art director; web designer,"{""art director"": 3, ""web designer"": 2}",art director; brand manager; customer support lead; marketing manager; product manager; web designer; web development lead,art director; web designer,brand manager; customer support lead; marketing manager; product manager; web development lead,
HIGH_01459,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01459\planning\dossier.json,6,0,0,0,6,False,sales assistant,"{""sales assistant"": 6}",administrative assistant; inventory controller; marketing coordinator; sales assistant; store manager,sales assistant,administrative assistant; inventory controller; marketing coordinator; store manager,
HIGH_01518,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01518\planning\dossier.json,6,0,0,0,6,False,chief executive officer; industrial production manager; purchasing manager,"{""industrial production manager"": 4, ""purchasing manager"": 1, ""chief executive officer"": 1}",chief executive officer; health and safety officer; industrial production manager; purchasing manager; sales manager; warehouse manager,chief executive officer; industrial production manager; purchasing manager,health and safety officer; sales manager; warehouse manager,
HIGH_01548,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01548\planning\dossier.json,5,0,0,0,5,False,project manager; sales manager,"{""sales manager"": 2, ""project manager"": 3}",Customer success manager; Finance controller; Marketing manager; Project manager; Sales manager; project manager; sales manager,project manager; sales manager,Customer success manager; Finance controller; Marketing manager; Project manager; Sales manager,
HIGH_01624,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01624\planning\dossier.json,5,0,0,0,5,False,food production operator; industrial machinery mechanic,"{""industrial machinery mechanic"": 4, ""food production operator"": 1}",food production operator; health and safety officer; industrial machinery mechanic; production supervisor; quality assurance specialist,food production operator; industrial machinery mechanic,health and safety officer; production supervisor; quality assurance specialist,
HIGH_01626,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01626\planning\dossier.json,5,0,0,0,5,False,clothing fashion designer; graphic designer,"{""clothing fashion designer"": 3, ""graphic designer"": 2}",clothing fashion designer; graphic designer; marketing specialist; product manager; production manager,clothing fashion designer; graphic designer,marketing specialist; product manager; production manager,
HIGH_01654,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01654\planning\dossier.json,6,0,0,0,6,False,chief executive officer; product manager; tourism product manager,"{""product manager"": 4, ""tourism product manager"": 1, ""chief executive officer"": 1}",Chief executive officer; Customer support lead; Finance manager; Marketing manager; Product manager; Tourism product manager; chief executive officer; product manager; tourism product manager,chief executive officer; product manager; tourism product manager,Chief executive officer; Customer support lead; Finance manager; Marketing manager; Product manager; Tourism product manager,
HIGH_01662,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01662\planning\dossier.json,5,0,0,0,5,False,motor vehicle assembly supervisor; motor vehicles specialised seller; vehicle technician,"{""vehicle technician"": 2, ""motor vehicles specialised seller"": 1, ""motor vehicle assembly supervisor"": 2}",customer service representative; garage manager; motor vehicle assembly supervisor; motor vehicles specialised seller; vehicle technician,garage manager; motor vehicle assembly supervisor; motor vehicles specialised seller; vehicle technician,customer service representative; garage manager,
HIGH_01670,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01670\planning\dossier.json,5,0,0,0,5,False,doctors' surgery assistant; shelf filler,"{""shelf filler"": 4, ""doctors' surgery assistant"": 1}",doctors' surgery assistant; finance and billing coordinator; health and safety officer; shelf filler; store manager,doctors' surgery assistant; shelf filler,finance and billing coordinator; health and safety officer; store manager,
HIGH_01709,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01709\planning\dossier.json,5,0,0,0,5,False,chemistry technician; home care aide; shelf filler,"{""chemistry technician"": 3, ""home care aide"": 1, ""shelf filler"": 1}",Chemistry technicians; Client family representatives; Health and safety coordinator; Home care aides; Shelf fillers; chemistry technician; home care aide; shelf filler,chemistry technician; home care aide; shelf filler,Chemistry technicians; Client family representatives; Health and safety coordinator; Home care aides; Shelf fillers,
HIGH_01725,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01725\planning\dossier.json,5,0,0,0,5,False,inventory coordinator; metal sawing machine operator; mover,"{""mover"": 1, ""inventory coordinator"": 2, ""metal sawing machine operator"": 2}",Health and safety officer; Inventory coordinator; Metal sawing machine operator; Mover; Warehouse operations supervisor; inventory coordinator; metal sawing machine operator; mover,inventory coordinator; metal sawing machine operator; mover,Health and safety officer; Inventory coordinator; Metal sawing machine operator; Mover; Warehouse operations supervisor,
HIGH_01787,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01787\planning\dossier.json,5,0,0,0,5,False,sales assistant,"{""sales assistant"": 5}",Food safety officer; Sales assistants; Store manager; Supply chain coordinator; Visual merchandising specialist; sales assistant,sales assistant,Food safety officer; Sales assistants; Store manager; Supply chain coordinator; Visual merchandising specialist,
HIGH_01797,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01797\planning\dossier.json,5,0,0,0,5,False,motor vehicle parts assembler; payroll clerk,"{""motor vehicle parts assembler"": 4, ""payroll clerk"": 1}",health and safety officer; maintenance technician; motor vehicle parts assembler; payroll clerk; production supervisor,motor vehicle parts assembler; payroll clerk,health and safety officer; maintenance technician; production supervisor,
HIGH_01875,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01875\planning\dossier.json,5,0,0,0,5,False,biophysicist; management assistant; prison officer; screen making technician,"{""biophysicist"": 1, ""management assistant"": 2, ""screen making technician"": 1, ""prison officer"": 1}",Administrative management assistants; Medical services staff; Prison management; Prison officer team leads; Security and compliance officers; biophysicist; management assistant; prison officer; screen making technician,biophysicist; management assistant; prison officer; screen making technician; volunteer mentor,Administrative management assistants; Medical services staff; Prison management; Prison officer team leads; Security and compliance officers; volunteer mentor,
HIGH_01895,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01895\planning\dossier.json,5,0,0,0,5,False,vehicle maintenance attendant,"{""vehicle maintenance attendant"": 5}",fleet supervisor; health and safety officer; operations manager; recycling worker; vehicle maintenance attendant,vehicle maintenance attendant,fleet supervisor; health and safety officer; operations manager; recycling worker,
HIGH_01905,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01905\planning\dossier.json,5,0,0,0,5,False,bookshop specialised seller; call centre agent; contact centre supervisor; specialised seller,"{""call centre agent"": 1, ""specialised seller"": 1, ""bookshop specialised seller"": 1, ""contact centre supervisor"": 2}",Bookshop specialised seller; Call centre agent; Contact centre supervisor; Customer experience manager; Specialised seller; Training and development specialist; bookshop specialised seller; call centre agent; contact centre supervisor; specialised seller,bookshop specialised seller; call centre agent; contact centre supervisor; specialised seller,Bookshop specialised seller; Call centre agent; Contact centre supervisor; Customer experience manager; Specialised seller; Training and development specialist,
HIGH_01931,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01931\planning\dossier.json,5,0,0,0,5,False,management assistant; occupational therapist; sales account manager,"{""occupational therapist"": 1, ""sales account manager"": 1, ""management assistant"": 3}",human resources manager; management assistant; occupational therapist; operations manager; sales account manager,management assistant; occupational therapist; sales account manager,human resources manager; operations manager,
HIGH_01974,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_01974\planning\dossier.json,5,0,0,0,5,False,project manager; quality engineer,"{""project manager"": 2, ""quality engineer"": 3}",compliance officer; operations manager; project manager; quality engineer; site supervisor,project manager; quality engineer,compliance officer; operations manager; site supervisor,
HIGH_02033,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02033\planning\dossier.json,6,0,0,0,6,False,contact centre supervisor; hotel porter,"{""hotel porter"": 5, ""contact centre supervisor"": 1}",contact centre supervisor; front office manager; hotel porter; housekeeping supervisor; security officer,contact centre supervisor; hotel porter,front office manager; housekeeping supervisor; security officer,
HIGH_02060,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02060\planning\dossier.json,5,0,0,0,5,False,assistant lecturer; business analyst; product manager,"{""product manager"": 2, ""business analyst"": 2, ""assistant lecturer"": 1}",assistant lecturer; business analyst; customer support lead; marketing manager; product manager; sales manager,assistant lecturer; business analyst; customer support lead; product manager; sales manager,customer support lead; marketing manager; sales manager,
HIGH_02205,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02205\planning\dossier.json,5,0,0,0,5,False,assistant lecturer; medical sales representative,"{""medical sales representative"": 4, ""assistant lecturer"": 1}",assistant lecturer; marketing manager; medical affairs specialist; medical sales representative; regulatory affairs specialist,assistant lecturer; medical sales representative,marketing manager; medical affairs specialist; regulatory affairs specialist,
HIGH_02217,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02217\planning\dossier.json,5,0,0,0,5,False,higher education lecturer,"{""higher education lecturer"": 5}",IT support specialist; higher education lecturer; programme coordinator; quality assurance officer; student support officer,higher education lecturer,IT support specialist; programme coordinator; quality assurance officer; student support officer,
HIGH_02265,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02265\planning\dossier.json,5,0,0,0,5,False,night auditor; technical sales representative,"{""technical sales representative"": 4, ""night auditor"": 1}",customer success specialist; marketing coordinator; night auditor; sales manager; technical sales representative,night auditor; technical sales representative,customer success specialist; marketing coordinator; sales manager,
HIGH_02329,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02329\planning\dossier.json,5,0,0,0,5,False,biotechnical technician; scientific laboratory technician,"{""scientific laboratory technician"": 4, ""biotechnical technician"": 1}",Biotechnical technician; Health and safety officer; Laboratory manager; Quality assurance officer; Scientific laboratory technician; biotechnical technician; scientific laboratory technician,biotechnical technician; scientific laboratory technician,Biotechnical technician; Health and safety officer; Laboratory manager; Quality assurance officer; Scientific laboratory technician,
HIGH_02348,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02348\planning\dossier.json,5,0,0,0,5,False,cabinet maker,"{""cabinet maker"": 5}",cabinet maker; installation technician; move coordinator; sales representative; workshop supervisor,cabinet maker,installation technician; move coordinator; sales representative; workshop supervisor,
HIGH_02399,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02399\planning\dossier.json,6,0,0,0,6,False,human resources assistant; human resources manager,"{""human resources manager"": 3, ""human resources assistant"": 3}",business unit manager; human resources assistant; human resources manager; legal consultant; payroll specialist,human resources assistant; human resources manager,business unit manager; legal consultant; payroll specialist,
HIGH_02422,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02422\planning\dossier.json,5,0,0,0,5,False,cook,"{""cook"": 5}",Front-of-house supervisor; Head cook; Kitchen assistant; Line cook; Procurement officer; cook,cook,Front-of-house supervisor; Head cook; Kitchen assistant; Line cook; Procurement officer,
HIGH_02483,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02483\planning\dossier.json,5,0,0,0,5,False,software developer,"{""software developer"": 5}",DevOps engineer; data analyst; data engineer; product manager; security officer; software developer,software developer,DevOps engineer; data analyst; data engineer; product manager; security officer,
HIGH_02493,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02493\planning\dossier.json,5,0,0,0,5,False,child care worker; healthcare assistant,"{""healthcare assistant"": 4, ""child care worker"": 1}",Childcare coordinator; Dietary services supervisor; Head nurse; Infection control specialist; Ward manager; child care worker; healthcare assistant,child care worker; healthcare assistant,Childcare coordinator; Dietary services supervisor; Head nurse; Infection control specialist; Ward manager,
HIGH_02495,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02495\planning\dossier.json,5,0,0,0,5,False,office clerk; payroll clerk,"{""payroll clerk"": 3, ""office clerk"": 2}",finance manager; human resources specialist; internal auditor; office clerk; payroll clerk,office clerk; payroll clerk,finance manager; human resources specialist; internal auditor,
HIGH_02506,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02506\planning\dossier.json,5,0,0,0,5,False,factory hand; mover; office clerk,"{""mover"": 1, ""factory hand"": 3, ""office clerk"": 1}",Administrative support staff; Factory floor workers; Health and safety officer; Logistics planner; Warehouse movers; Warehouse operations supervisor; factory hand; mover; office clerk,factory hand; mover; office clerk,Administrative support staff; Factory floor workers; Health and safety officer; Logistics planner; Warehouse movers; Warehouse operations supervisor,
HIGH_02558,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02558\planning\dossier.json,5,0,0,0,5,False,imagesetter; online marketer; technical sales representative,"{""imagesetter"": 1, ""online marketer"": 1, ""technical sales representative"": 3}",Customer support representative; Marketing manager; Online marketer; Print production specialist; Technical sales representative; imagesetter; online marketer; technical sales representative,imagesetter; online marketer; technical sales representative,Customer support representative; Marketing manager; Online marketer; Print production specialist; Technical sales representative,
HIGH_02574,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02574\planning\dossier.json,5,0,0,0,5,False,membership manager; sales manager,"{""membership manager"": 3, ""sales manager"": 2}",customer service manager; finance manager; marketing manager; membership manager; sales manager,membership manager; sales manager,customer service manager; finance manager; marketing manager,
HIGH_02614,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02614\planning\dossier.json,5,0,0,0,5,False,cook; home care aide,"{""home care aide"": 3, ""cook"": 2}",Cook; Dietitian; Home care aide; Logistics coordinator; Operations manager; cook; home care aide,cook; home care aide,Cook; Dietitian; Home care aide; Logistics coordinator; Operations manager,
HIGH_02670,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02670\planning\dossier.json,6,0,0,0,6,False,architect; office clerk; project manager,"{""office clerk"": 1, ""project manager"": 4, ""architect"": 1}",Customer success team; IT support; Legal and compliance; Project management office; Sales management; office clerk; project manager,architect; office clerk; project manager,Customer success team; IT support; Legal and compliance; Project management office; Sales management,
HIGH_02678,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02678\planning\dossier.json,5,0,0,0,5,False,product and services manager; project manager,"{""product and services manager"": 3, ""project manager"": 2}",Customer support management; Finance controller; Marketing management; Product and services management; Project management office; Sales management; product and services manager; project manager,product and services manager; project manager,Customer support management; Finance controller; Marketing management; Product and services management; Project management office; Sales management,
HIGH_02691,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02691\planning\dossier.json,6,0,0,0,6,False,bookkeeper,"{""bookkeeper"": 6}",bookkeeper; external auditor; finance manager; health and safety officer; operations manager; relocation coordinator,bookkeeper,external auditor; finance manager; health and safety officer; operations manager; relocation coordinator,
HIGH_02717,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02717\planning\dossier.json,5,0,0,0,5,False,bookkeeper; mover,"{""bookkeeper"": 4, ""mover"": 1}",accounting manager; bookkeeper; mover; operations supervisor; tax advisor,bookkeeper; mover,accounting manager; operations supervisor; tax advisor,
HIGH_02763,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02763\planning\dossier.json,5,0,0,0,5,False,accounting manager; employment agent; financial controller; financial manager,"{""accounting manager"": 1, ""employment agent"": 1, ""financial controller"": 1, ""financial manager"": 2}",Branch managers; Head of retail banking; IT reporting specialist; Marketing manager; Risk and compliance officer; accounting manager; employment agent; financial controller; financial manager,accounting manager; employment agent; financial controller; financial manager; financial planner,Branch managers; Head of retail banking; IT reporting specialist; Marketing manager; Risk and compliance officer; financial planner,
HIGH_02777,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02777\planning\dossier.json,6,0,0,0,6,False,management assistant,"{""management assistant"": 6}",clinic manager; head nurse; healthcare assistant; management assistant; quality and compliance officer,management assistant,clinic manager; head nurse; healthcare assistant; quality and compliance officer,
HIGH_02795,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02795\planning\dossier.json,5,0,0,0,5,False,real estate agent; real estate manager,"{""real estate agent"": 1, ""real estate manager"": 4}",Construction manager; Facility management provider; Finance manager; Property owner; Real estate agent; Real estate manager; real estate agent; real estate manager,real estate agent; real estate manager,Construction manager; Facility management provider; Finance manager; Property owner; Real estate agent; Real estate manager,
HIGH_02817,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02817\planning\dossier.json,5,0,0,0,5,False,factory hand; mover,"{""mover"": 3, ""factory hand"": 2}",Health and safety officer; Logistics planner; Maintenance technician; Truck drivers; Warehouse supervisor; factory hand; mover,factory hand; mover,Health and safety officer; Logistics planner; Maintenance technician; Truck drivers; Warehouse supervisor,
HIGH_02848,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02848\planning\dossier.json,5,0,0,0,5,False,secretary; tax clerk,"{""tax clerk"": 4, ""secretary"": 1}",Client relationship managers; Head of accounting department; IT support staff; Internal audit team; Senior management; Tax compliance manager; secretary; tax clerk,secretary; tax clerk,Client relationship managers; Head of accounting department; IT support staff; Internal audit team; Senior management; Tax compliance manager,
HIGH_02854,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02854\planning\dossier.json,5,0,0,0,5,False,department manager; product manager,"{""product manager"": 4, ""department manager"": 1}",customer service manager; department manager; finance manager; marketing manager; operations manager; product manager,department manager; product manager,customer service manager; finance manager; marketing manager; operations manager,
HIGH_02880,HIGH,C:\Users\beatr\Desktop\monografia final\outputs\teams\HIGH_02880\planning\dossier.json,5,0,0,0,5,False,corporate trainer; human resources assistant; human resources officer,"{""corporate trainer"": 1, ""human resources assistant"": 1, ""human resources officer"": 3}",corporate trainer; human resources assistant; human resources officer; line manager; payroll and benefits specialist; senior leadership,corporate trainer; human resources assistant; human resources officer,line manager; payroll and benefits specialist; senior leadership,
LOW_03413,LOW,C:\Users\beatr\Desktop\monografia final\outputs\teams\LOW_03413\planning\dossier.json,5,0,0,0,5,False,public relations officer; secondary school teacher; spokesperson,"{""spokesperson"": 2, ""secondary school teacher"": 1, ""public relations officer"": 2}",Legal counsel; Operations manager; Public relations officer; Security guard; Senior management; Spokesperson; public relations officer; secondary school teacher; spokesperson,public relations officer; secondary school teacher; spokesperson,Legal counsel; Operations manager; Public relations officer; Security guard; Senior management; Spokesperson,
LOW_03427,LOW,C:\Users\beatr\Desktop\monografia final\outputs\teams\LOW_03427\planning\dossier.json,6,0,0,0,6,False,administrative assistant; higher education lecturer; product quality controller; specialist nurse,"{""administrative assistant"": 3, ""specialist nurse"": 1, ""higher education lecturer"": 1, ""product quality controller"": 1}",Clinic operations manager; Front-desk administrative staff; Head nurse; IT and electronic health record support; Patient advocacy representative; Quality assurance manager; administrative assistant; higher education lecturer; medical administrative assistant; product quality controller; specialist nurse,administrative assistant; higher education lecturer; medical administrative assistant; product quality controller; specialist nurse,Clinic operations manager; Front-desk administrative staff; Head nurse; IT and electronic health record support; Patient advocacy representative; Quality assurance manager; medical administrative assistant,
LOW_03437,LOW,C:\Users\beatr\Desktop\monografia final\outputs\teams\LOW_03437\planning\dossier.json,6,0,0,0,6,False,bicycle assembler; electromechanical engineering technician; industrial machinery mechanic; mover; printed circuit board assembler,"{""bicycle assembler"": 1, ""industrial machinery mechanic"": 2, ""printed circuit board assembler"": 1, ""mover"": 1, ""electromechanical engineering technician"": 1}",bicycle assembler; electromechanical engineering technician; health and safety officer; industrial machinery mechanic; mover; printed circuit board assembler; production supervisor; quality inspector,bicycle assembler; electromechanical engineering technician; industrial machinery mechanic; mover; printed circuit board assembler,health and safety officer; production supervisor; quality inspector,
MID_00280,MID,C:\Users\beatr\Desktop\monografia final\outputs\teams\MID_00280\planning\dossier.json,5,0,0,0,5,False,flower and garden specialised seller; mover; office clerk; sales assistant,"{""sales assistant"": 1, ""mover"": 1, ""office clerk"": 2, ""flower and garden specialised seller"": 1}",Back-office administration; Customer service representatives; Logistics and moving team; Store management; Store sales staff; flower and garden specialised seller; mover; office clerk; sales assistant,audio and video equipment specialised seller; flower and garden specialised seller; mover; office clerk; sales assistant,Back-office administration; Customer service representatives; Logistics and moving team; Store management; Store sales staff; audio and video equipment specialised seller,
MID_00341,MID,C:\Users\beatr\Desktop\monografia final\outputs\teams\MID_00341\planning\dossier.json,5,0,0,0,5,False,dental technician; industrial machinery mechanic; industrial production manager; real estate manager,"{""industrial production manager"": 1, ""dental technician"": 1, ""industrial machinery mechanic"": 1, ""real estate manager"": 2}",Dental technician; Finance controller; Health and safety officer; Industrial machinery mechanic; Industrial production manager; Real estate manager,,Dental technician; Finance controller; Health and safety officer; Industrial machinery mechanic; Industrial production manager; Real estate manager,dental technician; industrial machinery mechanic; industrial production manager; real estate manager
